gimnasios,paradas,mochila,distancia,cantciclos
1,1,6,16.1245,6275.56
2,1,6,29.7378,8442.86
2,2,6,42.3556,10422
3,1,6,53.788,14719.9
3,2,6,42.2426,13496.4
3,3,6,33.4822,26224.7
4,1,6,52.1522,29803.3
4,2,6,59.6201,26664.1
4,3,6,50.9625,18746.3
4,4,6,57.4125,22142.8
5,1,6,87.4136,26861.1
5,2,6,53.8622,20665.3
5,3,6,33.7296,21112.1
5,4,6,81.7873,20947.5
5,5,6,100.53,25211
6,1,6,72.9256,30421.7
6,2,6,55.6312,42276.2
6,3,6,43.7409,31818.3
6,4,6,88.389,32931.7
6,5,6,77.7132,33464.9
6,6,6,108.624,33339.1
7,1,6,73.3296,46219
7,2,6,73.7882,43132.9
7,3,6,56.9029,53841.8
7,4,6,63.5232,46565.4
7,5,6,102.625,42012.7
7,6,6,118.703,37789.4
7,7,6,67.7777,35445.9
