gimnasios,paradas,mochila,distancia,cantciclos
1,1,6,16.1245,23608.2
1,2,6,29.8803,35781.4
2,2,6,35.3838,100931
1,3,6,21.0376,87884.6
2,3,6,41.0406,200240
3,3,6,33.3893,380633
1,4,6,21.0376,116652
2,4,6,33.9697,636786
3,4,6,29.2481,933738
4,4,6,48.4996,4.65108e+06
1,5,6,21.0376,331079
2,5,6,33.9697,1.85015e+06
3,5,6,29.7093,3.28316e+06
4,5,6,54.7416,1.85188e+07
5,5,6,60.1083,2.07138e+08
1,6,6,21.0376,593658
2,6,6,41.1266,8.70834e+06
3,6,6,29.7093,8.51967e+06
4,6,6,60.2375,9.07449e+07
5,6,6,60.1083,4.69392e+08
6,6,6,79.7146,2.86605e+09
1,7,6,21.0376,1.25054e+06
2,7,6,35.3613,2.3831e+07
3,7,6,37.9432,2.92756e+07
4,7,6,62.0583,2.42894e+08
5,7,6,71.076,2.70177e+09
6,7,6,79.7146,1.03751e+10
7,7,6,48.4453,2.19265e+09
