gimnasios,paradas,mochila,distancia,cantciclos
1,1,6,16.1245,8666.3
1,2,6,32.4033,15413.5
2,2,6,42.3556,20647.2
1,3,6,27.3144,7248.02
2,3,6,44.0264,11280.3
3,3,6,33.4822,13144.3
1,4,6,27.3144,10191.1
2,4,6,53.8172,13542.9
3,4,6,33.3893,14830
4,4,6,57.4125,18882.4
1,5,6,27.3144,7304.5
2,5,6,53.8172,10145.6
3,5,6,38.7947,21542.9
4,5,6,71.2589,25783.7
5,5,6,100.53,31832
1,6,6,27.3144,19008.3
2,6,6,45.777,18601.8
3,6,6,42.6188,22634.6
4,6,6,71.2589,21344.4
5,6,6,84.3548,28165
6,6,6,108.624,30367.3
1,7,6,27.3144,8212.92
2,7,6,50.7346,10370.1
3,7,6,44.6188,15948.8
4,7,6,92.3583,20670
5,7,6,90.567,25638.9
6,7,6,108.624,29185.8
7,7,6,67.7777,45846.2
