gimnasios,paradas,mochila,distancia,cantciclos
5,5,6,58.5692,7.00232e+07
5,5,6,44.8622,6.57027e+07
5,5,6,30.7296,3.92674e+07
5,5,6,46.0478,5.28603e+07
5,5,6,43.7478,5.04499e+07
5,5,6,47.7798,5.35204e+07
5,5,6,38.2411,1.96868e+07
5,5,6,43.4782,5.98733e+07
5,5,6,44.9394,4.74227e+07
5,5,6,45.1385,4.38992e+07
5,5,6,45.6222,5.58607e+07
5,5,6,58.2012,5.60569e+07
5,5,6,55.0631,1.98584e+08
5,5,6,40.822,6.90108e+07
5,5,6,34.1544,1.28831e+07
5,5,6,48.8864,3.85061e+07
5,5,6,44.7281,8.98174e+07
5,5,6,55.5598,1.67491e+08
5,5,6,41.0403,1.23884e+08
5,5,6,38.253,2.95766e+07
5,5,6,43.6752,5.48903e+07
5,5,6,30.099,2.70839e+07
5,5,6,58.753,7.88087e+07
5,5,6,44.301,7.12859e+07
5,5,6,50.8993,6.19215e+07
5,5,6,35.9519,2.7301e+07
5,5,6,54.5626,5.65922e+07
5,5,6,25.2475,1.1502e+07
5,5,6,41.1195,1.43633e+07
5,5,6,45.3328,5.30995e+07
5,5,6,34.6136,2.76495e+07
5,5,6,37.2782,4.90051e+07
5,5,6,60.7635,9.61494e+07
5,5,6,51.8615,9.83326e+07
5,5,6,48.4135,1.0984e+08
5,5,6,50.5444,7.44767e+07
5,5,6,36.1449,1.90174e+07
5,5,6,52.7104,6.51465e+07
5,5,6,56.3872,1.96645e+08
5,5,6,54.2572,1.23642e+08
5,5,6,62.327,1.6906e+08
5,5,6,36.4171,1.15084e+08
5,5,6,45.8186,3.95582e+07
5,5,6,46.3322,4.55315e+07
5,5,6,50.0863,4.71474e+07
5,5,6,47.333,2.09305e+07
5,5,6,49.8309,1.22645e+08
5,5,6,35.2271,1.70375e+07
5,5,6,40.5089,3.79771e+07
5,5,6,65.7487,1.93879e+08
5,5,6,64.9641,1.0146e+08
5,5,6,58.8151,1.49441e+08
5,5,6,82.2804,1.52993e+08
5,5,6,70.6144,1.58082e+08
5,5,6,47.2242,2.62647e+07
5,5,6,66.0587,3.23214e+08
5,5,6,47.6487,6.19939e+07
5,5,6,64.0358,1.47773e+08
5,5,6,50.9492,4.68957e+07
5,5,6,61.6225,1.31833e+08
5,5,6,105.652,5.61014e+08
5,5,6,75.4062,5.30349e+08
5,5,6,62.1643,2.67405e+08
5,5,6,86.1975,3.43759e+08
5,5,6,56.6248,1.73867e+08
5,5,6,53.9816,5.87457e+07
5,5,6,61.3568,2.53041e+08
5,5,6,55.4746,3.85852e+07
5,5,6,52.2148,1.51601e+08
5,5,6,83.814,2.14082e+08
5,5,6,85.3845,3.90337e+08
5,5,6,64.0643,3.0114e+08
5,5,6,59.4473,6.69706e+07
5,5,6,66.3672,1.52674e+08
5,5,6,58.9976,1.27948e+08
5,5,6,65.8977,1.54573e+08
5,5,6,73.8733,3.03898e+08
5,5,6,68.9358,3.31202e+08
5,5,6,77.5655,1.03829e+08
5,5,6,82.7907,3.8412e+08
5,5,6,78.2567,3.80082e+08
5,5,6,75.2869,3.05452e+08
5,5,6,68.3089,2.54285e+08
5,5,6,60.7204,1.07624e+08
5,5,6,61.9676,3.3931e+08
5,5,6,64.0805,2.36876e+08
5,5,6,109.394,4.44547e+08
5,5,6,53.8567,6.63684e+07
5,5,6,65.6519,1.91081e+08
5,5,6,80.5149,3.96279e+08
5,5,6,85.7315,2.47334e+08
5,5,6,67.5575,3.47121e+08
5,5,6,78.4112,1.15597e+08
5,5,6,67.5876,1.39673e+08
5,5,6,80.0191,3.62732e+08
5,5,6,75.4889,4.69225e+08
5,5,6,83.2277,2.83778e+08
5,5,6,51.0114,3.11784e+08
5,5,6,78.5693,2.63379e+08
5,5,6,79.2194,1.22831e+08
