cantGimnasios,cantPokeparadas,tamMochila,distancia,tamCamino,iteraciones,alfa,omega,semilla,tiempo
32,87,12,9362,89,1000,0.1,0.15,420,32776148008
15,34,12,7498,41,1000,0.1,0.15,420,8091019993
15,34,12,7498,41,1000,0.1,0.15,420,8107743188
15,34,12,7498,41,1000,0.1,0.15,420,8098029186
15,34,12,7498,41,1000,0.1,0.15,420,8091399773
15,34,12,7498,41,1000,0.1,0.15,420,8089707461
15,34,12,7498,41,1000,0.1,0.15,420,8087656389
15,34,12,7498,41,1000,0.1,0.15,420,8090574196
15,34,12,7498,41,1000,0.1,0.15,420,8119926545
15,34,12,7498,41,1000,0.1,0.15,420,8117115059
15,34,12,7498,41,1000,0.1,0.15,420,8146438224
21,69,12,5933,61,1000,0.1,0.15,420,16631187758
21,69,12,5933,61,1000,0.1,0.15,420,16600211363
21,69,12,5933,61,1000,0.1,0.15,420,16572983376
21,69,12,5933,61,1000,0.1,0.15,420,16612976077
21,69,12,5933,61,1000,0.1,0.15,420,16604826968
21,69,12,5933,61,1000,0.1,0.15,420,16603976650
21,69,12,5933,61,1000,0.1,0.15,420,16602898417
21,69,12,5933,61,1000,0.1,0.15,420,16617941719
21,69,12,5933,61,1000,0.1,0.15,420,16595878929
21,69,12,5933,61,1000,0.1,0.15,420,16604149937
43,114,12,11326,125,1000,0.1,0.15,420,182093654405
43,114,12,11326,125,1000,0.1,0.15,420,182828358431
43,114,12,11326,125,1000,0.1,0.15,420,182948145809
43,114,12,11326,125,1000,0.1,0.15,420,185211789002
43,114,12,11326,125,1000,0.1,0.15,420,187935422068
43,114,12,11326,125,1000,0.1,0.15,420,182180918411
43,114,12,11326,125,1000,0.1,0.15,420,184137721339
43,114,12,11326,125,1000,0.1,0.15,420,184485608550
43,114,12,11326,125,1000,0.1,0.15,420,187065359044
43,114,12,11326,125,1000,0.1,0.15,420,182212110022
36,76,12,9317,90,1000,0.1,0.15,420,43716479540
36,76,12,9317,90,1000,0.1,0.15,420,43643622003
36,76,12,9317,90,1000,0.1,0.15,420,43390731813
36,76,12,9317,90,1000,0.1,0.15,420,43610781603
36,76,12,9317,90,1000,0.1,0.15,420,43388557184
36,76,12,9317,90,1000,0.1,0.15,420,43481014344
36,76,12,9317,90,1000,0.1,0.15,420,43788368911
36,76,12,9317,90,1000,0.1,0.15,420,43427762246
36,76,12,9317,90,1000,0.1,0.15,420,43523708458
36,76,12,9317,90,1000,0.1,0.15,420,43648835542
9,14,12,3453,19,1000,0.1,0.15,420,807375426
